le_id,sub_prof_id,checklist_id,collateral_id,client_id,facility_id,customer_type,checklist_status,security_type,security_sub_type,document_status,custody_status,market_value,haircut_pct,valuation_date,currency,valuation_source,pledge_status,location,owner_name,notes,customer_id,particulars_of_collateral,security_id,document_id,document_description,document_date,document_expiry_date,amount,property_address,property_memorial_type,remarks,mth_end,src,cty
LE001,SP001,800001,500001,C100101,F200151,MAIN_BORROWER,certification_allowed,SCB STRUCTURED DEPOSITS/NOTES,Structured Deposit Note B,pending_update,RECEIVED,267457,0.05,30-01-2025,SGD,Internal Valuation,NOT_PLEDGED,AE,Orchid Foods Pte Ltd,,,,,,,30-01-2025,30-01-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800002,500002,C100805,F201220,MAIN_BORROWER,new,GUARANTEES,Bank Guarantee,completed,ALLOW_TEMP_UPLIFT,141738,0.4,12-04-2025,USD,Internal Valuation,NOT_PLEDGED,UK,Third Party Trustee,,,,,,,12-04-2025,12-04-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800003,500003,C100283,F200427,MAIN_BORROWER,obsolete,COMMODITY,Agricultural Produce,awaiting,ALLOW_BULK_PERM_UPLIFT,663009,0.14,14-05-2025,USD,Market Price,PLEDGED,UK,Third Party Trustee,,,,,,,14-05-2025,14-05-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800004,500004,C100016,F200022,MAIN_BORROWER,certification_allowed,INSURANCE,Policy Assignment,submitted_to_custodian,RECEIVED,32678,0.08,03-09-2024,INR,Internal Valuation,PARTIAL,US,SPV Trustee,,,,,,,03-09-2024,03-09-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800005,500005,C100462,F200702,MAIN_BORROWER,deferred,ASSET BASED,Plant & Machinery,pending_update,ALLOW_PERM_UPLIFT,35965,0.4,04-01-2024,INR,Custody Statement,PLEDGED,US,Custodian Bank,,,,,,,04-01-2024,04-01-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800006,500006,C100702,F201059,MAIN_BORROWER,new,PROPERTY,Land,completed,RECEIVED,183716,0.06,18-08-2025,EUR,Custody Statement,NOT_PLEDGED,UK,SPV Trustee,,,,,,,18-08-2025,18-08-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800007,500007,C100611,F200926,MAIN_BORROWER,obsolete,PROPERTY,Land,submitted_to_custodian,PENDING_ALLOW_TEMP_UPLIFT,919927,0.07,21-11-2023,USD,Third Party Valuer,NOT_PLEDGED,US,Custodian Bank,,,,,,,21-11-2023,21-11-2023,,,,,31-12-2024,CMS,SG
LE001,SP001,800008,500008,C100423,F200642,MAIN_BORROWER,in_progress,PROPERTY,Land,pending_complete,AWAITING,328694,0.22,03-08-2025,EUR,Internal Valuation,RELEASED,HK,Custodian Bank,,,,,,,03-08-2025,03-08-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800009,500009,C100093,F200137,MAIN_BORROWER,new,CASH,Cash Deposit,awaiting,PENDING_ALLOW_TEMP_UPLIFT,40249,0.07,23-10-2024,SGD,Custody Statement,RELEASED,AE,Nova Retail Pte Ltd,,,,,,,23-10-2024,23-10-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800010,500010,C100362,F200555,MAIN_BORROWER,new,ASSET BASED,Receivables,received,ALLOW_TEMP_UPLIFT,552421,0.31,13-11-2024,USD,Third Party Valuer,NOT_PLEDGED,AE,Custodian Bank,,,,,,,13-11-2024,13-11-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800011,500011,C100867,F201317,MAIN_BORROWER,completed,MARKETABLE SECURITIES,Corporate Bonds,pending_update,PENDING_ALLOW_TEMP_UPLIFT,35712,0.08,27-01-2025,INR,Internal Valuation,PLEDGED,IN,SPV Trustee,,,,,,,27-01-2025,27-01-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800012,500012,C100184,F200273,MAIN_BORROWER,new,INSURANCE,Insurance Bond,submitted_to_custodian,PENDING_ALLOW_PERM_UPLIFT,46475,0.19,07-05-2025,SGD,Internal Valuation,PLEDGED,HK,Apex Solutions Pte Ltd,,,,,,,07-05-2025,07-05-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800013,500013,C100764,F201154,MAIN_BORROWER,deferred,OTHERS,Contracts,submitted_to_custodian,ALLOW_RELODGE,57715,0.24,31-05-2025,EUR,Third Party Valuer,PLEDGED,SG,Third Party Trustee,,,,,,,31-05-2025,31-05-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800014,500014,C100772,F201168,MAIN_BORROWER,new,CASH,Cash Deposit,pending_update,PENDING_ALLOW_PERM_UPLIFT,62299,0.23,31-08-2024,GBP,Market Price,RELEASED,HK,SIMANGGANG SAWMILL COMPANY LTD SINGAPORE,,,,,,,31-08-2024,31-08-2024,,,,,31-12-2024,CMS,SG
