le_id,sub_prof_id,customer_id,bp_id,sca_ref,account_number,account_name,account_status,security_id,security_name,security_code,booking_basis,quantity,market_price_currency,market_price,type,mth_end,src,cty
LE001,SP001,,680487,126248000000,,HL BANK A/C CLIENTS OMNIBUS A/C 30PCT - UNITED,Active,356787,ADDVALUE TECHNOLOG - 6 PCT NTS 04/11/2027 SGD,XS2542162321,,5993.43,AUD,,,2024-12-30,SECCURE,SG
LE001,SP001,,629176,136172000000,,ANGLO CHINESE SCHOOL (INDEPENDENT),Active,198246,HOUSING AND DEV BRD - 2.598 PCT SNR MTN 30/10/26 SGD,SGXF74367608,,6295.38,HKD,,,2024-12-30,SECCURE,SG
LE001,SP001,,598508,886833000000,,BNP PARIBAS SECURITIES SERVICES,Active,539898,ADDVALUE TECHNOLOG - 6 PCT NTS 04/11/2027 SGD,JP3897700005,,4531.69,EUR,,,2024-12-30,SECCURE,SG
LE001,SP001,,805667,275260000000,,CHINA INTL CAPITAL CORPORATION LTD - CNY1 H,Active,456778,SUNTEC REIT MTN - 3.355 PCT GTD SNR 07/02/25 SGD,XS2542162321,,8158.43,INR,,,2024-12-30,SECCURE,SG
LE001,SP001,,117175,517010000000,,"UCO BANK, SINGAPORE (ICSD)",Active,476417,SEROJA INVESTMENTS LIMITED - PHY,SG1T75931996,,4061.05,INR,,,2024-12-30,SECCURE,SG
LE001,SP001,,775179,690384000000,,"UCO BANK, SINGAPORE (ICSD)",Active,496922,GENTING SINGAPORE LTD - USD0.1,SG1T75931496,,4073.16,INR,,,2024-12-30,SECCURE,SG
LE001,SP001,,615397,873920000000,,BBPLC CLIENT A/C PB CAYMAN CLIENTS,Active,148050,ADDVALUE TECHNOLOG - 6 PCT NTS 04/11/2027 SGD,SG1F67001091,,5483.92,INR,,,2024-12-30,SECCURE,SG
LE001,SP001,,918573,517046000000,,HL BANK A/C CLIENTS OMNIBUS A/C 30PCT - UNITED,Active,575435,SEROJA INVESTMENTS LIMITED - PHY,MY00007356PH,,1550.16,EUR,,,2024-12-30,SECCURE,SG
LE001,SP001,,712729,869946000000,,BBPLC CLIENT A/C PB CAYMAN CLIENTS,Active,738720,BRITISH AMERICAN TOBACCO (M) BHD -PHY 50 SEN,SG1T75931496,,2974.34,USD,,,2024-12-30,SECCURE,SG
LE001,SP001,,407887,804054000000,,BNP PARIBAS SECURITIES SERVICES,Active,330283,AMCORP GLOBAL LIMITED - NPV,XS2922061606,,3183.95,INR,,,2024-12-30,SECCURE,SG
LE001,SP001,,854151,539442000000,,HL BANK A/C CLIENTS OMNIBUS A/C 30PCT - UNITED,Active,169403,HOUSING AND DEV BRD - 2.598 PCT SNR MTN 30/10/26 SGD,SG1K01001701,,7931.3,USD,,,2024-12-30,SECCURE,SG
LE001,SP001,,424850,605272000000,,AIG ASIA PACIFIC INSURANCE PTE LTD OFFSHORE-BLK,Active,377746,GACI FIRST INVESTM - 5 PCT GTD SNR 13/10/2027 USD,SGXF74367608,,5135.06,HKD,,,2024-12-30,SECCURE,SG
LE001,SP001,,793300,570662000000,,MORGAN STANLEY NOMINEES (SINGAPORE) PTE LTD,Active,518801,SEROJA INVESTMENTS LIMITED - PHY,SGXF74367608,,3911.23,HKD,,,2024-12-30,SECCURE,SG
LE001,SP001,,105325,154786000000,,"UCO BANK, SINGAPORE (ICSD)",Active,260265,BRITISH AMERICAN TOBACCO (M) BHD -PHY 50 SEN,US46625HJD3,,2698.01,SGD,,,2024-12-30,SECCURE,SG
LE001,SP001,,410156,681831000000,,HL BANK A/C CLIENTS OMNIBUS A/C 30PCT - UNITED,Active,680099,RCS TRUST - 3.2 PCT SNR 14/03/25 SGD250000,XS0326729224,,3798.72,HKD,,,2024-12-30,SECCURE,SG
LE001,SP001,,815934,476415000000,,"UCO BANK, SINGAPORE (ICSD)",Active,407757,HSBC HOLDINGS PLC - 8 PCT FRN CNV SUB PERP USD,MY00007356PH,,3796.59,SGD,,,2024-12-30,SECCURE,SG
LE001,SP001,,534902,296546000000,,DEUTSCHE BANK TRUST COMPANY,Active,211579,RENAISSANCE UNITED LTD - NPV,SG1L01001701,,4973.01,USD,,,2024-12-30,SECCURE,SG
LE001,SP001,,402077,279369000000,,BNP PARIBAS SECURITIES SERVICES,Active,916449,CHINA INTL CAPITAL CORPORATION LTD - CNY1 H,SG7D1000009,,6645.09,EUR,,,2024-12-30,SECCURE,SG
LE001,SP001,,30422,438473000000,,PHILLIP SECURITIES (EUROCLEAR) CLIENT ACCOUNT-MACTIVE,Active,160738,ADDVALUE TECHNOLOG - 6 PCT NTS 04/11/2027 SGD,SG1K01001701,,5417.73,SGD,,,2024-12-30,SECCURE,SG
LE001,SP001,,865662,687382000000,,AIG ASIA PACIFIC INSURANCE PTE LTD OFFSHORE-BLK,Active,234628,MITSUBISHI CHEMICAL GROUP CORP - NPV,SG1T75931496,,2343.63,EUR,,,2024-12-30,SECCURE,SG
LE001,SP001,,232086,696695000000,,CLEARSTREAM BANKING S.A.-SG,Active,847581,RENAISSANCE UNITED LTD - NPV,US404280DB3,,6476.93,AUD,,,2024-12-30,SECCURE,SG
LE001,SP001,,469381,670799000000,,STANDARD CHARTERED BANK NOMINEES,Active,226882,ADDVALUE TECHNOLOG - 6 PCT NTS 04/11/2027 SGD,SGXF74367608,,4768.7,EUR,,,2024-12-30,SECCURE,SG
LE001,SP001,,626886,351487000000,,MORGAN STANLEY NOMINEES (SINGAPORE) PTE LTD,Active,330914,RCS TRUST - 3.2 PCT SNR 14/03/25 SGD250000,SGXE21576413,,2042.96,SGD,,,2024-12-30,SECCURE,SG
LE001,SP001,,80674,138248000000,,HSBC HOLDINGS PLC,Active,174299,CHINA INTL CAPITAL CORPORATION LTD - CNY1 H,SGXF74367608,,4078.72,AUD,,,2024-12-30,SECCURE,SG
LE001,SP001,,234643,244050000000,,MORGAN STANLEY NOMINEES (SINGAPORE) PTE LTD,Active,704201,MITSUBISHI CHEMICAL GROUP CORP - NPV,SGXF74367608,,5687.24,INR,,,2024-12-30,SECCURE,SG
LE001,SP001,,209659,203484000000,,CHINA INTL CAPITAL CORPORATION LTD - CNY1 H,Active,471507,HSBC HOLDINGS PLC - 8 PCT FRN CNV SUB PERP USD,US46625HJD3,,5648.17,INR,,,2024-12-30,SECCURE,SG
LE001,SP001,,716073,210150000000,,ANGLO CHINESE SCHOOL (INDEPENDENT)-ICSD,Active,522179,AMCORP GLOBAL LIMITED - NPV,XS0326729224,,3646.16,USD,,,2024-12-30,SECCURE,SG
LE001,SP001,,572336,252251000000,,CHINA INTL CAPITAL CORPORATION LTD - CNY1 H,Active,292401,SUNTEC REIT MTN - 3.355 PCT GTD SNR 07/02/25 SGD,JP3897700005,,7062,INR,,,2024-12-30,SECCURE,SG
LE001,SP001,,474656,704972000000,,"UCO BANK, SINGAPORE (ICSD)",Active,153045,DBS GROUP HOLDINGS LTD - SGD1.00,SG7D1000009,,3321.56,INR,,,2024-12-30,SECCURE,SG
LE001,SP001,,184389,634321000000,,CITIBANK N.A. SINGAPORE BRANCH,Active,324130,COUNTRY GARDEN HLD - 6.15 PCT GTD SNR 17/09/25 USD,XS2922061606,,5662.53,JPY,,,2024-12-30,SECCURE,SG
LE001,SP001,,419386,962361000000,,STANDARD CHARTERED BANK NOMINEES,Active,399105,HSBC HOLDINGS PLC - 8 PCT FRN CNV SUB PERP USD,SG1T75931496,,4041.65,AUD,,,2024-12-30,SECCURE,SG
LE001,SP001,,172316,422938000000,,CLEARSTREAM BANKING S.A.-SG,Active,161324,SINGAPORE TELECOMMUNICATIONS LTD - SGD0.25,SG1T75931496,,2787.33,AUD,,,2024-12-30,SECCURE,SG
LE001,SP001,,69942,740165000000,,CITIBANK N.A. SINGAPORE BRANCH,Active,627276,CHINA INTL CAPITAL CORPORATION LTD - CNY1 H,MY00007356PH,,6625.05,HKD,,,2024-12-30,SECCURE,SG
LE001,SP001,,902697,173813000000,,OCBC SECURITIES PRIVATE LTD,Active,171262,ADDVALUE TECHNOLOG - 6 PCT NTS 04/11/2027 SGD,US404280DB3,,4855.98,HKD,,,2024-12-30,SECCURE,SG
LE001,SP001,,617040,145503000000,,OCBC SECURITIES PRIVATE LTD,Active,185965,HSBC HOLDINGS PLC - 8 PCT FRN CNV SUB PERP USD,SG1K01001701,,5723.27,HKD,,,2024-12-30,SECCURE,SG
LE001,SP001,,990110,324458000000,,HSBC HOLDINGS PLC,Active,350280,SUNTEC REIT MTN - 3.355 PCT GTD SNR 07/02/25 SGD,US404280DB3,,5722.79,AUD,,,2024-12-30,SECCURE,SG
LE001,SP001,,489434,108902000000,,STANDARD CHARTERED BANK NOMINEES,Active,751332,SINGAPORE TELECOMMUNICATIONS LTD - SGD0.25,XS0326729224,,4928.35,HKD,,,2024-12-30,SECCURE,SG
LE001,SP001,,540458,242873000000,,JP MORGAN CHASE AND CO,Active,172132,ADDVALUE TECHNOLOG - 6 PCT NTS 04/11/2027 SGD,XS2051273896,,239.49,USD,,,2024-12-30,SECCURE,SG
LE001,SP001,,884244,875427000000,,HL BANK A/C CLIENTS OMNIBUS A/C - HONG KONG,Active,741390,CHINA INTL CAPITAL CORPORATION LTD - CNY1 H,SG7D1000009,,5174.09,INR,,,2024-12-30,SECCURE,SG
LE001,SP001,,987017,214518000000,,AIG ASIA PACIFIC INSURANCE PTE LTD OFFSHORE-BLK,Active,377312,PLETHICO PHARMA - 0 PCT CNV BDS 23/10/2012 USD,XS0326729224,,5183.52,USD,,,2024-12-30,SECCURE,SG
LE001,SP001,,305442,330231000000,,HSBC HOLDINGS PLC,Active,313487,SUNTEC REIT MTN - 3.355 PCT GTD SNR 07/02/25 SGD,SG1L01001701,,4560.66,EUR,,,2024-12-30,SECCURE,SG
LE001,SP001,,106781,566581000000,,HL BANK A/C CLIENTS OMNIBUS A/C 30PCT - UNITED,Active,146228,RCS TRUST - 3.2 PCT SNR 14/03/25 SGD250000,SG2F7993489,,7955.79,AUD,,,2024-12-30,SECCURE,SG
LE001,SP001,,179430,588515000000,,BNP PARIBAS SECURITIES SERVICES,Active,839945,HSBC HOLDINGS PLC - 8 PCT FRN CNV SUB PERP USD,SG1T75931496,,3383.01,SGD,,,2024-12-30,SECCURE,SG
LE001,SP001,,936004,697641000000,,ANGLO CHINESE SCHOOL (INDEPENDENT)-ICSD,Active,975136,SEROJA INVESTMENTS LIMITED - PHY,SG1K01001701,,6830.8,USD,,,2024-12-30,SECCURE,SG
LE001,SP001,,143636,435187000000,,JP MORGAN CHASE AND CO,Active,934794,BANCO SANTANDER - 3.6 PCT - FRN 23/10/2030 SGD,XS2051273896,,3940.48,AUD,,,2024-12-30,SECCURE,SG
LE001,SP001,,709330,486989000000,,BNP PARIBAS SECURITIES SERVICES,Active,526117,UOB LTD - SGD1.00,XS2542162321,,5194.16,INR,,,2024-12-30,SECCURE,SG
LE001,SP001,,848742,296756000000,,CHINA INTL CAPITAL CORPORATION LTD - CNY1 H,Active,125990,BRITISH AMERICAN TOBACCO (M) BHD -PHY 50 SEN,SG2F7993489,,3595.89,INR,,,2024-12-30,SECCURE,SG
LE001,SP001,,289766,963972000000,,"UCO BANK, SINGAPORE (ICSD)",Active,501124,BANCO SANTANDER - 3.6 PCT - FRN 23/10/2030 SGD,CNE100002359,,4215.78,USD,,,2024-12-30,SECCURE,SG
LE001,SP001,,376643,345791000000,,ANGLO CHINESE SCHOOL (INDEPENDENT),Active,792094,HOUSING AND DEV BRD - 2.598 PCT SNR MTN 30/10/26 SGD,US404280DB3,,5592.24,EUR,,,2024-12-30,SECCURE,SG
LE001,SP001,,820891,483451000000,,DEUTSCHE BANK TRUST COMPANY,Active,519093,DBS GROUP HOLDINGS LTD - SGD1.00,SG2F7993489,,5010.23,SGD,,,2024-12-30,SECCURE,SG
LE001,SP001,,197241,391987000000,,ANGLO CHINESE SCHOOL (INDEPENDENT)-ICSD,Active,213668,UOB LTD - SGD1.00,US46625HJD3,,2169.26,AUD,,,2024-12-30,SECCURE,SG
LE001,SP001,,467592,226751000000,,MITSUBISHI CHEMICAL GROUP CORP - NPV,Active,704596,HOUSING AND DEV BRD - 2.598 PCT SNR MTN 30/10/26 SGD,SGXF75619605,,4314.57,AUD,,,2024-12-30,SECCURE,SG
LE001,SP001,,11773,691874000000,,CLEARSTREAM BANKING S.A.-SG,Active,481913,HSBC HOLDINGS PLC - 8 PCT FRN CNV SUB PERP USD,SGXE21576413,,4677.43,EUR,,,2024-12-30,SECCURE,SG
LE001,SP001,,705612,236786000000,,HL BANK A/C CLIENTS OMNIBUS A/C - HONG KONG,Active,631756,RENAISSANCE UNITED LTD - NPV,US46625HJD3,,8772.37,JPY,,,2024-12-30,SECCURE,SG
LE001,SP001,,591343,311000000000,,CHINA INTL CAPITAL CORPORATION LTD - CNY1 H,Active,797229,COUNTRY GARDEN HLD - 6.15 PCT GTD SNR 17/09/25 USD,MY00007356PH,,5515.1,HKD,,,2024-12-30,SECCURE,SG
LE001,SP001,,435800,430714000000,,HL BANK A/C CLIENTS OMNIBUS A/C - HONG KONG,Active,320392,HSBC HOLDINGS PLC - 8 PCT FRN CNV SUB PERP USD,SG1K01001701,,1162.46,AUD,,,2024-12-30,SECCURE,SG
LE001,SP001,,497575,587229000000,,CLEARSTREAM BANKING S.A.-SG,Active,636004,MITSUBISHI CHEMICAL GROUP CORP - NPV,MY00007356PH,,5120.46,SGD,,,2024-12-30,SECCURE,SG
LE001,SP001,,550490,798636000000,,OCBC SECURITIES PRIVATE LTD,Active,451470,GENTING SINGAPORE LTD - USD0.1,SGXF74367608,,4615.28,EUR,,,2024-12-30,SECCURE,SG
LE001,SP001,,855742,259769000000,,ANGLO CHINESE SCHOOL (INDEPENDENT),Active,148458,ADDVALUE TECHNOLOG - 6 PCT NTS 04/11/2027 SGD,CNE100002359,,4930.58,INR,,,2024-12-30,SECCURE,SG
LE001,SP001,,487538,734065000000,,CLEARSTREAM BANKING S.A.-SG,Active,853240,COUNTRY GARDEN HLD - 6.15 PCT GTD SNR 17/09/25 USD,CNE100002359,,7285.65,USD,,,2024-12-30,SECCURE,SG
