le_id,sub_prof_id,client_id,trade_id,product_group,product_type,counterparty_id,counterparty_name,trade_date,value_date,notional,currency,mth_end,src,cty
LE001,SP001,C100692,786579303,ThirdPartyDeliveryFlow,FX,896233790,SUMITOMO MITSUI,2023-09-08,2023-09-16,108668.47,EUR,2024-12-31,RAZORFX,SG
LE001,SP001,C100238,895285932,CDS,FWD,734036506,SINGAPORE TREASURY,2023-02-02,2023-02-03,50720.37,SGD,2024-12-31,MUREX,SG
LE001,SP001,C100284,642621108,SWLEG,DERIVATIVE,313500298,SINGAPORE EXCHANGE,2024-03-05,2024-03-13,622808.96,AED,2024-12-31,SABRE,SG
LE001,SP001,C100980,969119330,FXD,SWAP,849621470,SINGAPORE TREASURY,2023-12-15,2023-12-24,372367.23,EUR,2024-12-31,MUREX,SG
LE001,SP001,C100270,919795579,EQ Swap,FWD,199585092,SINGAPORE AIRLINES,2023-04-10,2023-04-22,45207.39,HKD,2024-12-31,SABRE,SG
LE001,SP001,C100906,966647391,TripartySecurityMargin,MM,675770529,HSBC HOLDINGS PLC,2024-01-23,2024-01-26,197920.75,AUD,2024-12-31,SABRE,SG
LE001,SP001,C100389,488302652,CLAIMS_PENAL,FWD,149203558,BNP PARIBAS,2023-10-24,2023-10-27,398337.68,JPY,2024-12-31,RAZORFX,SG
LE001,SP001,C100623,398471886,FWD,BOND,274648506,SINGAPORE TELECOM,2023-12-30,2024-01-06,727715.28,AUD,2024-12-31,RAZORFX,SG
LE001,SP001,C100947,781802744,WRITE_OFF,DERIVATIVE,882893941,BNP PARIBAS,2023-06-17,2023-07-02,145755.13,INR,2024-12-31,RAZORMM,SG
LE001,SP001,C100410,787194506,AccruedFeesSettlement,BOND,924970419,DBS BANK LTD,2023-08-23,2023-09-19,543251.72,USD,2024-12-31,RAZORMM,SG
LE001,SP001,C100905,387484583,StockVsFee,OPTION,709004943,GENTING SINGAPORE LTD,2023-08-06,2023-08-27,34334.25,AED,2024-12-31,FMPTS,SG
LE001,SP001,C100438,790256940,FWD,SWAP,384412919,JPMORGAN CHASE AND CO,2023-09-10,2023-10-04,34239.13,AUD,2024-12-31,SABRE,SG
LE001,SP001,C100881,726563708,IRS,BOND,335493870,JPMORGAN CHASE AND CO,2024-06-05,2024-06-21,367526.59,SGD,2024-12-31,RAZORFX,SG
LE001,SP001,C100610,217734861,BRRD_NOS_ADJ,SWAP,950488739,SINGAPORE TREASURY,2024-09-02,2024-09-05,6027.36,INR,2024-12-31,FMPTS,SG
LE001,SP001,C100768,602564736,CF,IRS,694021782,STANDARD CHARTERED BANK LTD,2024-11-27,2024-12-21,28498.5,SGD,2024-12-31,SABRE,SG
LE001,SP001,C100995,386501362,EQ Swap,FWD,415143362,SINGAPORE TREASURY,2023-06-11,2023-06-26,30493.08,USD,2024-12-31,RAZORMM,SG
LE001,SP001,C100382,637500247,Redemption,DERIVATIVE,214257751,BARCLAYS BANK,2024-10-16,2024-11-02,71920.71,JPY,2024-12-31,MUREX,SG
LE001,SP001,C100019,918739736,WRITE_OFF,DERIVATIVE,936043811,STANDARD CHARTERED BANK SINGAPORE,2023-01-01,2023-01-21,403738.04,HKD,2024-12-31,FMPTS,SG
LE001,SP001,C100749,220117054,BOND,IRS,357109965,DBS BANK LTD,2023-09-04,2023-10-03,82418.79,SGD,2024-12-31,RAZORFX,SG
LE001,SP001,C100169,621828280,StockVsFee,DERIVATIVE,922308461,JPMORGAN CHASE AND CO,2023-05-12,2023-06-03,42787.67,AED,2024-12-31,SABRE,SG
LE001,SP001,C100408,384602384,CF,SECURITY,554340903,CITIBANK N.A.,2024-07-06,2024-07-31,1803686.89,JPY,2024-12-31,RAZORMM,SG
LE001,SP001,C100346,821218382,BOND,MM,655742829,OCBC BANK,2023-05-04,2023-05-12,200083.65,JPY,2024-12-31,RAZORFX,SG
LE001,SP001,C100069,122585366,AccruedFeesSettlement,SECURITY,336456621,STANDARD CHARTERED BANK LTD,2023-03-14,2023-04-06,292958.62,USD,2024-12-31,MUREX,SG
LE001,SP001,C100552,133729406,EQ Swap,FWD,652070932,BNP PARIBAS,2023-10-13,2023-11-04,10832.46,AED,2024-12-31,MUREX,SG
LE001,SP001,C100674,242068763,SCF,OPTION,942478695,MITSUBISHI UFJ FINANCIAL GROUP,2024-02-21,2024-02-28,31155.33,SGD,2024-12-31,RAZORFX,SG
LE001,SP001,C100412,562837684,LN_BR,EQUITY,541417711,OCBC BANK,2023-02-25,2023-03-19,309960.26,SGD,2024-12-31,RAZORFX,SG
LE001,SP001,C100432,881913386,EQ Swap,FWD,366992705,CITIBANK N.A.,2023-07-14,2023-08-01,15045.1,AED,2024-12-31,MUREX,SG
LE001,SP001,C100667,297018781,FixedRateCouponPaym,MM,368227631,UOB LTD,2024-03-29,2024-04-24,437314.29,SGD,2024-12-31,RAZORFX,SG
LE001,SP001,C100218,680451872,FXD,FWD,909134796,BNP PARIBAS,2023-06-20,2023-07-04,29121.55,AED,2024-12-31,FMPTS,SG
LE001,SP001,C100433,530613729,None,SWAP,506919288,STANDARD CHARTERED BANK LTD,2024-02-04,2024-02-13,42191.22,AED,2024-12-31,RAZORMM,SG
LE001,SP001,C100058,847959430,RTRS,SWAP,303901283,BARCLAYS BANK,2023-08-11,2023-08-13,29084.25,USD,2024-12-31,RAZORMM,SG
LE001,SP001,C100070,153839920,SCF,DERIVATIVE,670292350,MORGAN STANLEY,2023-02-28,2023-03-17,2981573.2,SGD,2024-12-31,MUREX,SG
LE001,SP001,C100083,738914080,StockVsFee,OPTION,533550699,HSBC HOLDINGS PLC,2024-08-06,2024-08-14,58912.19,USD,2024-12-31,SABRE,SG
LE001,SP001,C100271,550139320,CF,BOND,379995032,CITIBANK N.A.,2024-11-16,2024-12-09,67844.65,HKD,2024-12-31,MUREX,SG
LE001,SP001,C100576,524971817,DailyPenalties,IRS,590941149,GENTING SINGAPORE LTD,2023-03-16,2023-03-17,781764.16,AED,2024-12-31,SABRE,SG
LE001,SP001,C100900,207354053,StockVsFee,DERIVATIVE,328872698,STANDARD CHARTERED BANK SINGAPORE,2023-09-29,2023-10-04,54879.94,HKD,2024-12-31,RAZORFX,SG
LE001,SP001,C100826,362298393,BOND,IRS,269379374,OCBC BANK,2024-07-10,2024-08-02,352047.95,AUD,2024-12-31,SABRE,SG
LE001,SP001,C100270,802201721,CF,FX,817112652,SINGAPORE EXCHANGE,2023-11-03,2023-12-03,5700.99,SGD,2024-12-31,MUREX,SG
LE001,SP001,C100208,223940587,CashDividend,DERIVATIVE,266910922,SUMITOMO MITSUI,2023-10-16,2023-11-05,47732.04,JPY,2024-12-31,RAZORMM,SG
