le_id,sub_prof_id,client_id,deal_id,step_id,product,product_type,deal_category,deal_date,value_date,amount,currency,mth_end,src,cty
LE001,SP001,C100025,223005401501,LATR,EXPORT LOANS,IMPORT,L/C,2025-01-28,2025-03-16,179164.02,SGD,2024-12-31,DTP,SG
LE001,SP001,C100913,914655221101,UTIL,COLLECTIONS,EXPORT,BCLC,2025-09-09,2025-09-14,83623.75,USD,2024-12-31,DTP,SG
LE001,SP001,C100616,655050052120,ISS000,IMPORT LOANS,IMPORT,LIBW,2023-07-04,2023-07-18,214749.23,JPY,2024-12-31,DTP,SG
LE001,SP001,C100828,407473554860,ISS000,EXPORT BILLS,EXPORT,IML,2024-04-19,2024-04-28,613929.78,USD,2024-12-31,DTP,SG
LE001,SP001,C100344,941629821539,PAY001,COLLECTIONS,EXPORT,CBC,2023-11-05,2023-12-29,74534.39,EUR,2024-12-31,DTP,SG
LE001,SP001,C100826,390355792387,ACP001,LETTER OF CREDIT,EXPORT,LIBW,2025-02-27,2025-04-27,74535.86,JPY,2024-12-31,DTP,SG
LE001,SP001,C100300,705928833000,BR,IMPORT LOANS,EXPORT,SHIP,2024-10-12,2024-11-26,656747.81,SGD,2024-12-31,DTP,SG
LE001,SP001,C100233,826046287257,EBC,EXPORT LOANS,IMPORT,L/C,2025-04-17,2025-05-11,247934.95,EUR,2024-12-31,DTP,SG
LE001,SP001,C100854,797732084371,ACP003,EXPORT BILLS,EXPORT,POLC,2024-09-06,2024-10-18,56197.68,EUR,2024-12-31,DTP,SG
LE001,SP001,C100073,811605418712,SHIP,LETTER OF CREDIT,IMPORT,LIBW,2024-06-26,2024-07-06,189296.92,JPY,2024-12-31,DTP,SG
LE001,SP001,C100947,397982492151,BR,LETTER OF CREDIT,IMPORT,IML,2025-07-18,2025-08-01,56607.61,SGD,2024-12-31,DTP,SG
LE001,SP001,C100410,447055029070,AMD002,COLLECTIONS,IMPORT,SHIP,2024-02-04,2024-02-17,56450.77,HKD,2024-12-31,DTP,SG
LE001,SP001,C100905,535935878833,BR,GUARANTEES,IMPORT,EBC,2025-01-28,2025-02-12,131973.28,HKD,2024-12-31,DTP,SG
LE001,SP001,C100269,690821577339,LATR,IMPORT LOANS,EXPORT,SHIP,2023-08-15,2023-09-07,9937.43,USD,2024-12-31,DTP,SG
LE001,SP001,C100505,658939878788,AAC001,COLLECTIONS,IMPORT,IBC,2024-12-17,2025-02-05,12457.76,HKD,2024-12-31,DTP,SG
LE001,SP001,C100065,754648192232,POLC,GUARANTEES,EXPORT,UTIL,2024-06-13,2024-07-18,50274.59,SGD,2024-12-31,DTP,SG
LE001,SP001,C100117,893195777447,CCBC,IMPORT LOANS,EXPORT,IML,2025-03-26,2025-04-13,29278.32,JPY,2024-12-31,DTP,SG
LE001,SP001,C100003,598895488714,LATR,LETTER OF CREDIT,EXPORT,UTIL,2024-11-09,2024-12-11,143932.08,SGD,2024-12-31,DTP,SG
LE001,SP001,C100305,790933616150,BR,IMPORT LOANS,IMPORT,IBC,2023-10-06,2023-11-23,33202.19,USD,2024-12-31,DTP,SG
LE001,SP001,C100331,757132452561,ACTR,COLLECTIONS,IMPORT,POLC,2024-02-19,2024-03-05,18128.41,SGD,2024-12-31,DTP,SG
LE001,SP001,C100749,190532572167,ACTR,COLLECTIONS,IMPORT,IBC,2023-03-12,2023-05-11,573078.81,AUD,2024-12-31,DTP,SG
LE001,SP001,C100540,388472023723,SHIP,GUARANTEES,IMPORT,LIBW,2024-09-24,2024-11-08,75287.43,EUR,2024-12-31,DTP,SG
LE001,SP001,C100382,815849444665,BID,IMPORT LOANS,EXPORT,CBC,2024-06-20,2024-07-04,107048.13,SGD,2024-12-31,DTP,SG
LE001,SP001,C100602,122926902939,UTIL,EXPORT BILLS,IMPORT,PERF,2025-06-17,2025-08-01,17859.7,HKD,2024-12-31,DTP,SG
LE001,SP001,C100069,349360964064,ACP001,EXPORT LOANS,IMPORT,UTIL,2024-07-10,2024-07-27,51366.46,HKD,2024-12-31,DTP,SG
LE001,SP001,C100552,334013073383,MSC001-0,LETTER OF CREDIT,EXPORT,L/C,2023-03-17,2023-05-07,112770.17,JPY,2024-12-31,DTP,SG
