le_id,sub_prof_id,client_id,deal_id,deal_rec_id,product,purpose_code,trade_date,value_date,amount,currency,mth_end,src,cty
LE001,SP001,C100238,XAJI0Y6DPB,XAJI0Y6DPB-38657,RECEIVABLE SERVICES,FAWR,2023-07-04,2023-07-18,108668.47,JPY,2024-12-31,OTP,SG
LE001,SP001,C100367,V3A3ZMF8MD,V3A3ZMF8MD-22676,POST ACCEPTANCE DISCOUNTING,TPMP,2025-08-13,2025-09-28,50720.37,JPY,2024-12-31,OTP,SG
LE001,SP001,C100791,T9NT3W5UZB,T9NT3W5UZB-39871,BILL DISCOUNTING AGAINST BUYER RISK,IFNB,2024-07-21,2024-09-14,130251.99,SGD,2024-12-31,OTP,SG
LE001,SP001,C100746,NQ4FMYZYCW,NQ4FMYZYCW-80010,PRE EXPORT FINANCING FOR FIS,VPRP,2023-04-08,2023-05-02,372367.23,EUR,2024-12-31,OTP,SG
LE001,SP001,C100935,9XUY41IBLJ,9XUY41IBLJ-37653,REFINANCING UNDER REIMBURSEMENT,FAWR,2023-01-22,2023-02-16,45207.39,HKD,2024-12-31,OTP,SG
LE001,SP001,C100505,QJIUJV6OH9,QJIUJV6OH9-76784,INVOICE FINANCING BUYER,LRRP,2025-03-30,2025-04-08,45208.29,HKD,2024-12-31,OTP,SG
LE001,SP001,C100698,FYVNVQJT7Y,FYVNVQJT7Y-25014,TRADE PAYABLE MANAGEMENT,RRMB,2025-03-26,2025-04-13,398337.68,JPY,2024-12-31,OTP,SG
LE001,SP001,C100623,FAZZ81SDW4,FAZZ81SDW4-76540,FINANCE AGAINST WAREHOUSE RECEIPT,TRDS,2023-10-06,2023-11-23,150380.15,USD,2024-12-31,OTP,SG
LE001,SP001,C100246,T2TALA753L,T2TALA753L-17592,INVOICE FINANCING BUYER,IFNB,2023-02-18,2023-04-11,34085.62,SGD,2024-12-31,OTP,SG
LE001,SP001,C100730,9TEX8FSV87,9TEX8FSV87-36365,BILL DISCOUNTING AGAINST BUYER RISK,PSHP,2023-10-07,2023-11-04,114814.38,AUD,2024-12-31,OTP,SG
LE001,SP001,C100880,QICATVAZCC,QICATVAZCC-14117,REFINANCING UNDER REIMBURSEMENT,IFNB,2022-12-23,2023-01-07,34334.25,EUR,2024-12-31,OTP,SG
LE001,SP001,C100362,YHE7UR23GD,YHE7UR23GD-66498,PORTFOLIO RECEIVABLE SERVICES,PFAC,2023-03-29,2023-05-23,34239.13,HKD,2024-12-31,OTP,SG
LE001,SP001,C100285,BXXC02DGTF,BXXC02DGTF-34050,IMPORT L/C REFINANCING,PSFI,2025-06-08,2025-07-06,80045.84,AUD,2024-12-31,OTP,SG
LE001,SP001,C100168,DXTAD1IOR5,DXTAD1IOR5-17685,PRESHIPMENT FINANCE EXPORT ORDERS,RSRV,2023-09-02,2023-09-18,6027.36,JPY,2024-12-31,OTP,SG
LE001,SP001,C100765,KZ02XRGHC0,KZ02XRGHC0-17989,REFINANCING UNDER REIMBURSEMENT,LRRP,2025-07-30,2025-09-05,7556.01,JPY,2024-12-31,OTP,SG
LE001,SP001,C100252,S4F8CGVYIE,S4F8CGVYIE-84668,LIMITED RECOURSE RECV PURCHASE,IFNB,2023-07-05,2023-08-16,30493.08,AUD,2024-12-31,OTP,SG
LE001,SP001,C100009,ULJYLJEXQ7,ULJYLJEXQ7-19508,IMPORT L/C REFINANCING,IFNS,2025-06-12,2025-07-16,17758.2,USD,2024-12-31,OTP,SG
LE001,SP001,C100541,SEMCIKPTK9,SEMCIKPTK9-95717,RECEIVABLE SERVICES,BDBR,2025-04-11,2025-06-10,87299.22,USD,2024-12-31,OTP,SG
LE001,SP001,C100927,J60FKHMY4S,J60FKHMY4S-42914,LIMITED RECOURSE RECV PURCHASE,IFNB,2023-06-26,2023-08-18,20138.15,EUR,2024-12-31,OTP,SG
LE001,SP001,C100558,BME9FPZUE8,BME9FPZUE8-29536,LIMITED RECOURSE RECV PURCHASE,PADS,2025-01-10,2025-02-06,10995.44,USD,2024-12-31,OTP,SG
LE001,SP001,C100997,BN78BMYYMU,BN78BMYYMU-63264,TRADE RECEIVABLES DISCOUNTING,PSFI,2024-12-12,2025-02-01,347589.87,USD,2024-12-31,OTP,SG
LE001,SP001,C100391,5A0L7253J2,5A0L7253J2-24168,LIMITED RECOURSE RECV PURCHASE,PFEB,2024-08-11,2024-08-23,45664.13,JPY,2024-12-31,OTP,SG
LE001,SP001,C100409,M35IXOKC1M,M35IXOKC1M-76768,REFINANCING UNDER REIMBURSEMENT,RSRV,2025-03-18,2025-05-13,64927.97,EUR,2024-12-31,OTP,SG
LE001,SP001,C100194,G8JDP0LVSN,G8JDP0LVSN-85574,TRADE PAYABLE MANAGEMENT,LRRP,2023-05-31,2023-05-31,10832.46,AUD,2024-12-31,OTP,SG
LE001,SP001,C100737,7TZ0YNCXLL,7TZ0YNCXLL-26334,BILL DISCOUNTING AGAINST BUYER RISK,BDBR,2023-07-27,2023-08-16,31155.33,JPY,2024-12-31,OTP,SG
LE001,SP001,C100293,ZTGXN0GUO4,ZTGXN0GUO4-49829,FINANCE AGAINST WAREHOUSE RECEIPT,PFAC,2024-01-20,2024-02-18,68398.56,JPY,2024-12-31,OTP,SG
LE001,SP001,C100688,PHR62GDSWM,PHR62GDSWM-40784,BILL DISCOUNTING AGAINST BUYER RISK,PSFI,2024-09-28,2024-10-07,15045.1,SGD,2024-12-31,OTP,SG
LE001,SP001,C100671,B9W1Q5UZNO,B9W1Q5UZNO-29342,RECEIVABLE SERVICES,IFNS,2023-06-23,2023-07-07,93980.03,USD,2024-12-31,OTP,SG
LE001,SP001,C100972,2ZQU7EEQTU,2ZQU7EEQTU-51588,IMPORT L/C REFINANCING,PFAC,2023-05-11,2023-07-07,29121.55,USD,2024-12-31,OTP,SG
LE001,SP001,C100240,0RJIW1SWJC,0RJIW1SWJC-47450,TRADE PAYABLE MANAGEMENT,RRMB,2024-01-25,2024-03-22,42191.22,AUD,2024-12-31,OTP,SG
LE001,SP001,C100926,CFNFHOLQC3,CFNFHOLQC3-61049,RECEIVABLE SERVICES,PSHP,2023-03-09,2023-03-09,29084.25,EUR,2024-12-31,OTP,SG
